pic_id,pic,pic_file,complex_mean,diagnostic,familiarity_mean,image_mean,H
3,alligator,alligator.bmp,4.5,4.55,1.94,4.5,0.71
6,apple,apple.bmp,3.42,3.46,4.59,3.42,0.93
23,bee,bee.bmp,2.92,4.46,2.29,2.92,0.0
32,bottle,bottle.bmp,3.75,2.82,4.65,3.75,0.0
43,camel,camel.bmp,3.17,4.55,1.88,3.17,0.0
53,chair,chair.bmp,3.42,2.64,5.0,3.42,0.0
55,chicken,chicken.bmp,3.67,3.64,3.53,3.67,0.0
71,deer,deer.bmp,4.67,4.73,2.41,4.67,0.0
73,dog,dog.bmp,3.5,2.91,4.41,3.5,0.0
75,donkey,donkey.bmp,4.33,4.46,2.71,4.33,0.96
84,elephant,elephant.bmp,4.5,4.73,2.41,4.5,0.0
103,giraffe,giraffe.bmp,4.42,4.55,2.12,4.42,0.0
108,gorilla,gorilla.bmp,4.25,4.55,1.94,4.25,1.39
110,grasshopper,grasshopper.bmp,4.17,4.46,2.06,4.17,0.47
119,heart,heart.bmp,4.83,5.0,4.29,4.83,1.4
126,kangaroo,kangaroo.bmp,4.5,4.73,1.88,4.5,0.0
136,leopard,leopard.bmp,3.75,4.82,1.94,3.75,0.0
138,lightbulb,lightbulb.bmp,4.75,3.82,4.53,4.75,0.0
140,lion,lion.bmp,4.17,4.55,2.13,4.17,0.0
149,mouse,mouse.bmp,4.5,4.36,2.88,4.5,0.0
166,pear,pear.bmp,4.83,4.18,4.29,4.83,0.59
169,penguin,penguin.bmp,3.75,5.0,1.82,3.75,0.0
171,piano,piano.bmp,3.83,3.73,3.35,3.83,0.0
172,pig,pig.bmp,4.17,4.46,2.65,4.17,1.01
173,pineapple,pineapple.bmp,4.75,4.73,3.18,4.75,0.0
182,rabbit,rabbit.bmp,3.83,3.55,3.69,3.83,0.0
183,raccoon,raccoon.bmp,3.92,4.55,1.53,3.92,0.78
186,rhinoceros,rhinoceros.bmp,4.75,4.91,1.76,4.75,1.65
194,saltshaker,saltshaker.bmp,4.33,2.91,4.47,4.33,0.0
206,skunk,skunk.bmp,4.25,4.91,1.59,4.25,0.0
210,snowman,snowman.bmp,4.0,4.82,2.76,4.0,0.0
220,strawberry,strawberry.bmp,4.83,4.64,3.88,4.83,0.0
223,swan,swan.bmp,4.67,4.82,2.41,4.67,0.0
226,table,table.bmp,3.83,3.0,4.47,3.83,0.0
233,tiger,tiger.bmp,4.17,4.46,2.0,4.17,0.0
236,tomato,tomato.bmp,4.58,4.64,4.59,4.58,0.0
241,tree,tree.bmp,3.92,3.91,4.88,3.92,0.0
258,wine_glass,wine_glass.bmp,4.17,4.0,4.53,4.17,0.0
260,zebra,zebra.bmp,5.0,5.0,1.76,5.0,0.29
